t,SINR
11.935,-16.6439330145931
11.94,-10.1347275632281
11.945,-3.55105689642504
11.95,-14.1057758473516
11.955,-2.68719772128334
11.96,-3.56735517583035
11.965,-2.97697881228721
11.97,9.91191960911077
11.975,-7.05773230888481
11.98,0.605519625477854
11.985,5.25573629241403
11.99,-9.66173913889762
11.995,-9.65483332906786
12,-4.53736535675193
12.005,15.4278278648191
12.01,12.6103102949832
12.015,5.28282234965437
12.02,-9.40107777647228
12.025,-12.3082004196318
12.03,-10.2112023260391
12.035,-7.84135317560637
12.04,-12.4870392474013
12.045,-11.9976460081119
12.05,4.96798921978172
12.055,-1.21401258333284
12.06,1.05741344400477
12.065,-4.67363535022986
12.07,-0.875337690649843
12.075,-14.8882409134117
12.08,-0.760535942838295
12.085,-11.1322156071169
12.09,-8.57123261532229
12.095,-14.7815077805607
12.1,17.439739904436
12.105,-13.4218468868719
12.11,-5.94268631731286
12.115,-13.3086384265673
12.12,-17.2864245054788
12.125,-15.5445346436083
12.13,8.63673824942518
12.135,-11.9576527409372
12.14,0.55254218626208
12.145,7.72188392380906
12.15,-10.0120095065731
12.155,-16.4439438204972
12.16,-7.73616833807344
12.165,-12.4835333343944
12.17,-14.4688034057883
12.175,-9.54556222581725
12.18,-5.96609731256081
12.185,3.74758785797385
12.19,2.95169232569842
12.195,-3.4058047774076
12.2,-6.84960026211828
12.205,-5.90219854789922
12.21,-5.01620442706808
12.215,-12.2376179373365
12.22,-12.4089318766147
12.225,-6.90413828087787
12.23,-13.2413335323472
12.235,-8.26388291678143
12.24,-9.82900616245026
